,didr,disease,drug,Wrname,Wdname
0,0,1.0,1.0,['DB00014'],['D102100']
1,0,0.103951,0.44574,,
2,0,0.291654,0.25,,
3,0,0.287022,0.5214,,
4,0,0.145869,0.27515,,
5,0,0.093696,0.05046,,
6,0,0.314919,0.17621,,
7,0,0.024705,0.1223,,
8,0,0.128086,0.18663,,
9,0,0.109279,0.09449,,
10,0,0.0,0.26506,,
11,0,0.156993,0.25106,,
12,0,0.181748,0.09524,,
13,0,0.071945,0.13816,,
14,0,0.240196,0.08915,,
15,0,0.209264,0.26748,,
16,0,0.044219,0.07692,,
17,0,0.056733,0.08257,,
18,0,0.0,0.04132,,
19,0,0.0,0.17625,,
20,0,0.045038,0.16064,,
21,0,0.228249,0.12162,,
22,0,0.077269,0.09127,,
23,0,0.151244,0.15068,,
24,0,0.122018,0.14829,,
25,0,0.029271,0.28185,,
26,0,0.058957,0.4,,
27,0,0.108726,0.18502,,
28,0,0.0,0.15986,,
29,0,0.0,0.19027,,
30,0,0.203815,0.12385,,
31,0,0.201119,0.15203,,
32,0,0.314417,0.24051,,
33,0,0.0,0.38491,,
34,0,0.0,0.23246,,
35,0,0.144457,0.12385,,
36,0,0.142609,0.24268,,
37,0,0.0,0.19835,,
38,0,0.561467,0.19286,,
39,0,0.120966,0.27423,,
40,0,0.055505,0.16776,,
41,0,0.0,0.2096,,
42,0,0.065243,0.20392,,
43,0,0.140422,0.40762,,
44,0,0.062445,0.15556,,
45,0,0.227034,0.168,,
46,0,0.018497,0.2521,,
47,0,0.026052,0.19732,,
48,0,0.0,0.17526,,
49,0,0.261185,0.21176,,
50,0,0.070893,0.36434,,
51,0,0.0,0.28313,,
52,0,0.04073,0.21739,,
53,0,0.249339,0.21254,,
54,0,0.0,0.14108,,
55,0,0.154229,0.15035,,
56,0,0.131476,0.11062,,
57,0,0.0,0.11438,,
58,0,0.0,0.11111,,
59,0,0.0,0.12782,,
60,0,0.125058,0.12245,,
61,0,0.055887,0.17059,,
62,0,0.059397,0.11915,,
63,0,0.106946,0.23828,,
64,0,0.242574,0.20861,,
65,0,0.0,0.42007,,
66,0,0.104824,0.18776,,
67,0,0.046851,0.10588,,
68,0,0.112972,0.14719,,
69,0,0.092757,0.14343,,
70,0,0.070287,0.09322,,
71,0,0.0,0.18987,,
72,0,0.061841,0.184,,
73,0,0.225034,0.2349,,
74,0,0.080812,0.12595,,
75,0,0.145896,0.12281,,
76,0,0.063135,0.22713,,
77,0,0.0,0.16288,,
78,0,0.140055,0.15862,,
79,0,0.223954,0.35144,,
80,0,0.239112,0.24896,,
81,0,0.151933,0.29046,,
82,0,0.056786,0.14226,,
83,0,0.277533,0.05858,,
84,0,0.0,0.24898,,
85,0,0.043532,0.23567,,
86,0,0.272887,0.2094,,
87,0,0.30589,0.24016,,
88,0,0.055065,0.17869,,
89,0,0.259121,0.22177,,
90,0,0.161005,0.38288,,
91,0,0.058477,0.29341,,
92,0,0.050368,0.20325,,
93,0,0.223596,0.11354,,
94,0,0.116251,0.08594,,
95,0,0.127136,0.27761,,
96,0,0.070213,0.14458,,
97,0,0.0,0.17717,,
98,0,0.065526,0.1614,,
99,0,0.0,0.06757,,
100,0,0.086217,0.36885,,
101,0,0.081212,0.09871,,
102,0,0.178215,0.29167,,
103,0,0.098654,0.49498,,
104,0,0.0,0.14859,,
105,0,0.0,0.15891,,
106,0,0.082505,0.12214,,
107,0,0.127441,0.0211,,
108,0,0.084615,0.32215,,
109,0,0.213149,0.26042,,
110,0,0.025418,0.04484,,
111,0,0.027947,0.24621,,
112,0,0.072837,0.19214,,
113,0,0.175274,0.17957,,
114,0,0.166181,0.21702,,
115,0,0.055622,0.28931,,
116,0,0.121099,0.20478,,
117,0,0.020914,0.21667,,
118,0,0.238232,0.18182,,
119,0,0.29675,0.31579,,
120,0,0.195564,0.29889,,
121,0,0.246465,0.10769,,
122,0,0.030029,0.14829,,
123,0,0.111325,0.11494,,
124,0,0.0,0.14983,,
125,0,0.0,0.38989,,
126,0,0.197583,0.14346,,
127,0,0.167174,0.09848,,
128,0,0.21587,0.24464,,
129,0,0.342421,0.34198,,
130,0,0.136813,0.15571,,
131,0,0.189478,0.13608,,
132,0,0.138678,0.21371,,
133,0,0.0,0.10769,,
134,0,0.198386,0.16883,,
135,0,0.119827,0.06809,,
136,0,0.0,0.17818,,
137,0,0.0,0.21132,,
138,0,0.109521,0.19565,,
139,0,0.299191,0.13248,,
140,0,0.165522,0.18636,,
141,0,0.155052,0.23958,,
142,0,0.0,0.25101,,
143,0,0.0876,0.17455,,
144,0,0.069267,0.28045,,
145,0,0.050292,0.19565,,
146,0,0.179606,0.1886,,
147,0,0.134242,0.12375,,
148,0,0.0,0.1124,,
149,0,0.135902,0.21739,,
150,0,0.08061,0.15658,,
151,0,0.050444,0.08537,,
152,0,0.174821,0.18222,,
153,0,0.069142,0.18339,,
154,0,0.235974,0.11284,,
155,0,0.059684,0.20805,,
156,0,0.0,0.1246,,
157,0,0.08925,0.22709,,
158,0,0.058539,0.25253,,
159,0,0.0,0.18056,,
160,0,0.222994,0.27758,,
161,0,0.0,0.25263,,
162,0,0.254755,0.17603,,
163,0,0.0,0.20172,,
164,0,0.0,0.13058,,
165,0,0.158086,0.2437,,
166,0,0.138048,0.25843,,
167,0,0.0,0.20312,,
168,0,0.0,0.24014,,
169,0,0.0,0.12268,,
170,0,0.066424,0.15726,,
171,0,0.059056,0.1759,,
172,0,0.093733,0.12456,,
173,0,0.080113,0.19767,,
174,0,0.157073,0.21084,,
175,0,0.170809,0.11923,,
176,0,0.0,0.25352,,
177,0,0.108823,0.24294,,
178,0,0.0,0.20137,,
179,0,0.0,0.21371,,
180,0,0.084066,0.24896,,
181,0,0.164907,0.24034,,
182,0,0.222803,0.29758,,
183,0,0.128521,0.21429,,
184,0,0.0,0.136,,
185,0,0.105886,0.30878,,
186,0,0.064188,0.1704,,
187,0,0.087509,0.05932,,
188,0,0.0,0.19931,,
189,0,0.0,0.375,,
190,0,0.157409,0.21253,,
191,0,0.0,0.19128,,
192,0,0.03038,0.23906,,
193,0,0.037052,0.20902,,
194,0,0.084444,0.15254,,
195,0,0.113378,0.21168,,
196,0,0.231988,0.09294,,
197,0,0.119989,0.2621,,
198,0,0.28575,0.21622,,
199,0,0.028231,0.13565,,
200,0,0.022051,0.16304,,
201,0,0.045772,0.16532,,
202,0,0.09288,0.22979,,
203,0,0.102381,0.19742,,
204,0,0.146789,0.29712,,
205,0,0.021599,0.17279,,
206,0,0.0,0.31561,,
207,0,0.167294,0.14341,,
208,0,0.0,0.15498,,
209,0,0.14234,0.13858,,
210,0,0.025673,0.24576,,
211,0,0.0,0.11808,,
212,0,0.0,0.32645,,
213,0,0.0,0.00881,,
214,0,0.029942,0.40323,,
215,0,0.139103,0.25373,,
216,0,0.150158,0.05285,,
217,0,0.073997,0.12141,,
218,0,0.026121,0.25758,,
219,0,0.114943,0.27458,,
220,0,0.0,0.19081,,
221,0,0.0,0.11284,,
222,0,0.331861,0.22541,,
223,0,0.088944,0.27487,,
224,0,0.075302,0.02752,,
225,0,0.089821,0.2107,,
226,0,0.051308,0.14859,,
227,0,0.029215,0.382,,
228,0,0.0,0.36226,,
229,0,0.047254,0.07843,,
230,0,0.065692,0.13655,,
231,0,0.067331,0.11969,,
232,0,0.0,0.06696,,
233,0,0.167902,0.2462,,
234,0,0.027059,0.08487,,
235,0,0.064129,0.25067,,
236,0,0.093594,0.14138,,
237,0,0.0,0.17251,,
238,1,0.229292,0.13589,,
239,0,0.022079,0.20253,,
240,0,0.026584,0.17341,,
241,0,0.097222,0.30303,,
242,0,0.063538,0.10547,,
243,0,0.092668,0.21846,,
244,0,0.080764,0.37469,,
245,0,0.081282,0.15152,,
246,0,0.0,0.24715,,
247,0,0.016152,0.15385,,
248,0,0.0,0.10938,,
249,0,0.070708,0.13839,,
250,0,0.217345,0.41453,,
251,0,0.0,0.09032,,
252,0,0.162557,0.12109,,
253,0,0.099492,0.16077,,
254,0,0.152714,0.37063,,
255,0,0.141078,0.26667,,
256,0,0.322047,0.15541,,
257,0,0.169075,0.14679,,
258,0,0.106774,0.1444,,
259,0,0.0,0.15385,,
260,0,0.161836,0.25207,,
261,0,0.0,0.10672,,
262,0,0.0,0.29893,,
263,0,0.102228,0.16609,,
264,0,0.170771,0.19184,,
265,0,0.0,0.30769,,
266,0,0.079532,0.17143,,
267,0,0.0,0.22333,,
268,0,0.111487,0.12692,,
269,0,0.0,0.24497,,
270,0,0.0,0.16974,,
271,0,0.154655,0.096,,
272,0,0.0,0.13305,,
273,0,0.200981,0.06996,,
274,0,0.111922,0.16992,,
275,0,0.228672,0.12253,,
276,0,0.0,0.12346,,
277,0,0.040664,0.27698,,
278,0,0.114683,0.0989,,
279,0,0.147035,0.17647,,
280,0,0.166873,0.15141,,
281,0,0.223833,0.31861,,
282,0,0.1661,0.76147,,
283,0,0.069193,0.26423,,
284,0,0.161659,0.27812,,
285,0,0.119737,0.19572,,
286,0,0.131836,0.32245,,
287,0,0.179236,0.01802,,
288,0,0.113215,0.18605,,
289,0,0.027881,0.22917,,
290,0,0.0,0.0724,,
291,0,0.347036,0.1073,,
292,0,0.106166,0.2395,,
293,0,0.047878,0.14488,,
294,0,0.255166,0.19481,,
295,0,0.106332,0.25714,,
